+--+------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|id|minors                                                                                                                                                                  |
|26|[(0, 1), (0, 4), (0, 7), (0, 8), (1, 2), (1, 3), (2, 4), (2, 6), (3, 6), (3, 7), (3, 9), (4, 5), (4, 7), (5, 6), (5, 7), (5, 8), (5, 9), (6, 9), (7, 8), (8, 9)]        |
|27|[(0, 1), (0, 3), (0, 5), (0, 9), (1, 2), (1, 4), (1, 6), (2, 3), (2, 6), (2, 8), (3, 7), (3, 9), (4, 7), (4, 9), (5, 6), (5, 8), (6, 7), (8, 9)]                        |
|28|[(0, 1), (0, 3), (0, 5), (0, 9), (1, 10), (1, 4), (2, 3), (2, 8), (2, 10), (3, 7), (3, 9), (4, 7), (4, 9), (5, 6), (5, 8), (6, 7), (6, 10), (8, 9)]                     |
|29|[(0, 1), (0, 4), (0, 5), (0, 7), (1, 2), (1, 6), (1, 9), (2, 3), (2, 7), (2, 9), (3, 4), (3, 6), (3, 8), (4, 5), (4, 8), (5, 6), (5, 9), (7, 8), (8, 9)]                |
|30|[(0, 1), (0, 3), (0, 4), (1, 2), (1, 6), (1, 7), (2, 3), (2, 8), (2, 9), (3, 5), (3, 9), (4, 5), (4, 6), (4, 8), (5, 6), (5, 9), (6, 7), (7, 8), (7, 9)]                |
|31|[(0, 1), (0, 4), (0, 5), (0, 6), (1, 2), (1, 9), (2, 3), (2, 5), (2, 8), (3, 4), (3, 7), (4, 6), (4, 9), (5, 6), (5, 7), (6, 7), (6, 9), (7, 8), (8, 9)]                |
|32|[(0, 1), (0, 4), (0, 5), (0, 6), (1, 2), (1, 9), (2, 3), (2, 5), (2, 8), (3, 4), (3, 7), (4, 6), (4, 9), (5, 6), (5, 8), (6, 7), (6, 9), (7, 8), (8, 9)]                |
|33|[(0, 1), (0, 3), (0, 4), (0, 5), (1, 2), (1, 7), (1, 8), (2, 3), (2, 8), (2, 9), (3, 5), (3, 6), (4, 5), (4, 7), (4, 8), (5, 6), (6, 8), (6, 9), (7, 9), (8, 9)]        |
|34|[(0, 1), (0, 2), (0, 3), (0, 8), (1, 2), (1, 3), (1, 5), (2, 5), (2, 7), (2, 9), (3, 4), (3, 6), (4, 5), (4, 9), (5, 7), (6, 7), (6, 8), (7, 9), (8, 9)]                |
|35|[(0, 1), (0, 4), (0, 5), (0, 7), (1, 2), (1, 5), (1, 6), (1, 7), (2, 3), (2, 6), (2, 7), (2, 8), (3, 4), (3, 6), (3, 8), (4, 9), (5, 6), (5, 9), (7, 8), (8, 9)]        |
|36|[(0, 1), (0, 3), (0, 7), (1, 2), (1, 4), (2, 3), (2, 5), (2, 9), (3, 6), (3, 8), (4, 5), (4, 7), (4, 8), (4, 9), (5, 6), (5, 7), (6, 9), (7, 8), (8, 9)]                |
|37|[(0, 1), (0, 3), (0, 4), (0, 8), (1, 2), (1, 4), (1, 6), (2, 3), (2, 4), (2, 7), (3, 4), (3, 9), (4, 5), (5, 6), (5, 7), (6, 9), (7, 8), (8, 9)]                        |
|38|[(0, 1), (0, 3), (0, 4), (0, 7), (1, 2), (1, 8), (2, 3), (2, 5), (2, 9), (3, 4), (3, 5), (4, 5), (4, 6), (4, 7), (5, 6), (5, 9), (6, 7), (6, 9), (7, 8), (8, 9)]        |
|39|[(0, 1), (0, 3), (0, 6), (0, 8), (1, 4), (1, 6), (1, 9), (2, 3), (2, 5), (2, 6), (2, 9), (3, 7), (3, 9), (4, 5), (4, 7), (5, 8), (6, 7), (8, 9)]                        |
|40|[(0, 1), (0, 4), (0, 9), (1, 2), (1, 5), (2, 3), (2, 6), (3, 4), (3, 7), (4, 8), (5, 6), (5, 9), (5, 10), (6, 7), (6, 10), (7, 8), (7, 10), (8, 9), (8, 10), (9, 10)]   |
|41|[(0, 1), (0, 4), (0, 6), (0, 7), (1, 4), (1, 8), (1, 10), (2, 3), (2, 8), (2, 10), (3, 5), (3, 7), (4, 5), (4, 8), (5, 9), (6, 7), (6, 9), (6, 10), (7, 10), (8, 9)]    |
+--+------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
